Term,NoEmp,CreateJob,RetainedJob,FranchiseCode,DisbursementGross,Default,RealEstate,Portion,Recession,bad_flag,RevLineCr,var,estimate,__levelN,_b0,linpred,rc,pd_hat
120,18,0,0,0,1900000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
109,8,0,8,0,150000,1,0,0.85,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,2,8,2,1,133485,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
66,1,8,8,0,125000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,3,0,3,0,70000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,50,0,0,1488000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
240,1,15,0,1,2420000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
126,20,20,0,1,400000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,45,20,0,0,617000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,2,0,2,0,50000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,15,0,15,0,531000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,1,5,0,140999,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,5,10,15,0,350000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
81,2,0,2,0,168500,1,0,0.9,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,4,0,4,0,30000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,6,0,6,0,50000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,50,10,10,0,200000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
240,1,50,0,1,637000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
264,30,0,0,0,2642000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,55,40,55,0,2200000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,14,0,0,0,1755000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
32,5,0,0,0,50000,1,0,0.9,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,0,10,0,1,4062700,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,150,0,150,1,400000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,15,2,17,0,129113,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,256,35,0,0,305000,0,0,1,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,5,1,5,0,21000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,10,2,10,0,105437,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
47,2,0,2,0,35000,1,0,0.5,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,27,0,27,0,235000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
300,5,1,5,0,378000,0,1,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,5,1,0,0,40000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,1,1,1,0,10000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,1,11,1,0,250000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,6,1,7,0,17814,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
28,10,2,10,0,75000,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
133,50,0,0,0,360000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,9,0,9,0,23000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,48,0,48,0,1750000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
24,4,0,4,0,17000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,5,0,0,188000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
300,113,0,0,0,1070000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
300,113,0,0,0,1100000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
240,30,0,30,0,1006000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,0,4,0,0,25000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,12,4,0,0,186000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,15,0,0,0,450000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,0,0,0,0,100000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,175,0,0,0,1872250,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,175,0,0,0,1480000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,175,0,0,0,1023750,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,2,1,3,0,100000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,12,0,12,0,44000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
300,0,0,0,0,1383000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
300,0,0,0,0,1127000,0,1,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,9,1,9,0,260652,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,9,1,9,0,118500,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
132,0,3,0,0,1000000,0,0,0.9,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,0,5,0,0,70000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,1,2,1,0,15000,1,0,0.5,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,33,2,35,0,1034781,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,33,2,35,0,300000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,25,25,0,0,2489000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
60,2,0,2,0,19000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,5,0,5,0,25000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
107,1,15,1,0,10000,1,0,0.85,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,2,1,3,0,77257,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
48,35,1,36,0,100000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
12,17,0,17,0,100000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,0,4,0,0,25000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,2,0,2,0,89000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,5,0,5,0,25000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
24,2,2,1,0,55394,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,2,0,2,0,20000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
24,2,0,2,0,155000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
2,3,0,3,0,50000,1,0,0.5,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,2,15,2,0,70000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,6,0,6,1,282000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
24,2,3,2,0,50000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
114,10,0,10,0,120000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,70,0,70,0,3230000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
55,11,4,11,0,100000,1,0,0.85,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
54,10,10,10,1,289548,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,10,0,0,0,100000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
240,1,7,1,0,933000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
240,80,8,2,0,324000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,7,10,10,0,100000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,13,0,13,0,5480,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,6,0,6,0,100000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,1,4,1,0,25000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
48,3,0,3,0,25000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,0,8,0,0,100000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,3,1,3,0,15000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
72,18,2,18,0,30000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,4,1,4,0,10000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,30,2,5,0,87859,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
72,3,0,3,0,19000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
90,1,0,1,0,180300,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,10,0,10,1,25234,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,21,0,0,0,30000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,10,2,10,0,60000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
72,5,7,7,0,300000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,8,0,0,0,186881,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,14,14,14,0,97984,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
36,20,0,20,0,15000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,2,0,2,0,2750000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,12,4,16,0,399059,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,18,0,18,0,16044,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,4,1,5,0,74562,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,4,0,4,0,46981,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,4,0,4,0,250000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
39,4,2,4,0,17100,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,2,5,0,50000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,2,35,37,0,50000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
66,17,0,17,0,28500,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,0,0,0,0,31432,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,9,4,9,0,500000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,2,0,2,0,57730,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,7,0,7,0,499999,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,15,1,15,0,100000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,50,0,1,1167000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
90,55,16,55,0,414000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,0,5,0,48704,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,0,9,0,1,60000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,1,0,1,0,2000000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
60,1,4,1,0,68500,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,15,2,15,0,109039,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,20,0,20,0,250000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,0,0,0,0,214700,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,1,0,1,0,396000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,4,0,4,0,74987,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,18,2,20,0,789350,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
120,60,0,0,0,234000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,7,2,7,0,574632,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,4,0,4,0,33000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
48,1,5,6,0,30000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,1,5,0,1,673000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
63,1,4,1,0,80600,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,0,0,0,0,85000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,45,9,45,0,1000000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
62,0,12,12,0,65000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,20,0,20,0,1700000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
49,6,6,12,0,66700,1,0,0.5,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,10,0,10,0,47102,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,45,9,45,0,1000000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
62,3,12,15,0,289800,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,1,5,5,0,73633,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,10,0,9,0,100000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,4,3,4,0,25000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,8,7,15,0,30000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,11,0,0,0,514300,0,1,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
84,5,2,5,0,36486,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
96,42,0,0,0,292500,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,15,5,15,0,50000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,1,6,0,39366,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
24,23,0,23,0,100000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
50,1,0,0,0,26468,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,1,0,1,0,50000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,58,30,4,1,121500,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,2,0,2,0,25000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,20,0,0,0,682000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,10,9,19,0,2055300,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,2,20,0,0,51000,0,0,0.85,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
120,0,0,0,0,604000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,11,0,0,0,196000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,9,2,9,0,85000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
300,3,2,5,0,1600000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,1,29,30,0,900000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,1,0,1,0,1500000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,4,0,4,0,1200000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,3,8,0,281009,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
39,7,0,7,0,75000,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,3,1,6,0,105000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
240,3,7,0,0,373000,0,1,1,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
120,0,0,0,0,230000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
300,0,5,5,0,184000,0,1,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,8.0104327565,160038,0.9996681292
180,12,4,8,0,65000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,10,0,10,0,250000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,8,1,0,0,100000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
12,18,12,18,0,5000000,0,0,0.9,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,7,5,7,0,485563,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,15,20,20,0,150000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,15,0,15,0,79000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,3,0,1,0,515000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,1,0,1,0,2674,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,1,40,1,0,200000,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,2,12,14,0,175000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,2,12,14,0,50000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
60,4,0,4,0,15000,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,5,0,5,0,26000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
84,10,1,10,0,150000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,55,0,55,0,857200,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
72,10,0,10,0,50000,0,0,0.5,0,0,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
76,1,2,1,0,5000,1,0,0.9,0,1,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
123,1,50,1,0,443900,0,0,0.75,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
180,0,1,1,0,247500,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
66,2,0,2,0,60000,1,0,0.5,0,1,1,REALESTATE,-4.6780,0,7.532308,2.8543497918,160038,0.945543094
60,6,0,0,0,51800,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
84,6,0,0,0,83400,0,0,0.5,0,0,0,REALESTATE,-4.6780,0,7.532308,3.3324745483,160038,0.9655262308
